babalu	stop
pufoni	chain
pujowi	false
puku	something
pulaso	horn
pulawu	competition
pumeti	nation
punolo	butter
pusif	off
pusike	learning
putiba	sand
puwase	desire
puwitu	wing
safile	exchange
safufi	thin
sajeku	print
saki	have
saluwe	journey
samafe	teaching
samala	education
sanena	salt
sapup	please
sawena	metal
sawuli	detail
sawusa	pipe
seju	two
sekuja	attempt
semeje	motion
semeji	nail
semife	quality
seni	talk
senoto	division
sepata	steel
sepawi	cruel
seput	use
sesefu	smooth
seseme	land
sewetu	reward
sewulo	iron
sibapo	guide
sijulu	foolish
sikufe	flag
similu	agreement
simoti	game
sinaju	mass
sinefa	comfort
sinuju	electric
sipoja	current
sisana	argument
sisumo	crush
sobinu	grass
sojan	any
sojufu	violent
sokewi	humor
sopale	pin
sopoko	reaction
sopoma	design
sopunu	powder
sosisu	nut
sosufe	porter
sotuja	foot
sowob	thing
sowu	and
subefe	net
sufal	much
sujelu	rub
sujosi	whistle
sukisu	opposite
sukumi	soap
sulese	rice
sumafu	balance
supa	it
supofa	angle
susita	degree
suweno	knee
tabob	help
tafali	stretch
tafapu	tax
tafite	debt
tafuwo	cotton
tajumu	brush
takanu	self
talamu	frame
tanepu	thick
tapafo	religion
tasesa	universe
tatewa	sail
tawole	muscle
tawopu	leather
tawuno	tooth
tawut	even
tebewe	steam
tefumo	punishment
tejim	water
tejoni	sheep
tekafo	equal
tekuka	thunder
telal	night
temini	basket
temuwi	whip
tewola	complex
tewowe	organization
tewusi	limit
tibawi	drawer
tibawu	blade
tifeke	red
tijumi	toe
tikulu	chin
tilose	pump
timabi	twist
timofi	hammer
tinalo	development
tineti	suggestion
tipeja	hollow
tipet	stay
titame	discussion
titib	first
tiwaba	plant
tiwil	person
tiwine	servant
tobaka	brass
tobako	needle
tobop	put
tofepa	thumb
tofine	cloud
tofiwu	existence
tofoba	industry
tofomu	destruction
tofumu	discovery
tojiki	chemical
tojufe	potato
tokijo	transport
toloji	boot
tomeku	bitter
topik	bad
topuse	produce
tosanu	harbor
toton	great
totuba	profit
towo	work
towuno	rhythm
tufona	lip
tuji	very
tujojo	rod
tukaj	thought
tulofo	payment
tumofu	goat
tupaji	measure
tupebe	collar
tupoli	root
tusani	bee
tutuko	curtain
tuwun	side
wabewa	stiff
waboki	must
wafub	name
wajipi	brick
wakuse	structure
wamilu	worm
wanita	glove
wanowi	branch
wapisi	bucket
watemu	skirt
watenu	acid
watule	pencil
watuwi	silk
wawiji	grip
weboko	polish
webufo	left
wefipu	delicate
wejeta	scale
wejewi	vessel
wekapa	error
wekepo	color
welipu	grey
welona	flame
wemete	device
wenafe	wax
wenosi	cart
wepip	day
wepipo	sock
wepuka	oven
weseto	fork
wetok	feel
wetow	before
wifawe	air
wijite	protest
wikab	fight
wikef	again
wikito	cough
wikute	fruit
wiloki	tin
wimut	still
wineno	drain
winusu	fold
wipamu	increase
wipoba	yellow
witajo	picture
witofi	burst
wiweno	approval
wiwofe	smash
wobap	than
wobiju	harmony
wofenu	instrument
wofuba	tray
wolej	other
womamu	front
wonat	last
wopa	good
wosebi	addition
woseta	liquid
woseti	belief
wosufo	spoon
wufiw	ever
wufobi	seed
wujine	ink
wujone	umbrella
wukewu	stitch
wulelu	carriage
wuneja	observation
wunelu	receipt
wunufa	jewel
wusiwu	bent
wutobo	substance
wutusa	jelly
wuweme	narrow
